id,created_at,name,url,regenerative,logoURL
3953085d-fb84-4799-8126-34f6d543c316,2024-08-29T17:36:08.700737+00:00,Regenerative Organic Alliance,https://regenorganic.org/,True,67ddc528-daa0-44b1-9224-e3462fa9e40a
18866dec-4291-48e0-96a5-d2925398a49e,2024-08-29T17:36:46.228076+00:00,Regenefied,https://regenified.com/,True,91efea90-3e73-48bc-860f-3cad40fbbbb8
610e0081-0f97-488e-a621-4de64ca9bcfe,2024-08-29T17:37:18.676901+00:00,Certified Regenerative by AGW,https://agreenerworld.org/certifications/certified-regenerative/,True,d9bd6abf-262b-44eb-bef6-1e0797c846fa
c638100a-5f15-4894-824e-0c18435b50a8,2024-08-29T17:44:29.024245+00:00,1% For The Planet,https://www.onepercentfortheplanet.org/,False,
106ce2a7-0ffe-4dec-9148-7cb780c3cb79,2024-08-29T17:44:29.024245+00:00,Audubon Certified,https://www.audubon.org/news/for-consumers-and-conservationists-faqs-conservation-ranching,False,da7434b0-078d-498a-97a1-6e6d188d6439
182a6ae4-5060-4b20-87b4-09453065c406,2024-08-29T17:44:29.024245+00:00,Animal Welfare Approved by AGW,https://agreenerworld.org/certifications/animal-welfare-approved/,False,abae606c-d9d3-4495-8ddc-0fa9f8eaed03
4d2264e2-e6d2-4424-a03d-1e9375764ff2,2024-08-29T17:44:29.024245+00:00,Certified Grassfed by AGW,https://agreenerworld.org/certifications/certified-grass-fed/,False,edd14fb9-af2b-41a7-baef-fde16bc7a988
5abbef6f-a17b-425b-99aa-50fa968d3f6b,2024-08-29T17:44:29.024245+00:00,Demeter Biodynamic,https://www.demeter-usa.org/certification/,False,baaa79d6-df0a-49a0-88a2-6c12e7b2301c
5e4213b1-b597-4148-adf4-3ed71437aec1,2024-08-29T17:44:29.024245+00:00,USDA Organic,https://www.ams.usda.gov/about-ams/programs-offices/national-organic-program,False,2b4a7333-4851-470a-b838-3e59526a1225
80a792b5-3332-4b2d-acaa-9bad2bcbb1e9,2024-08-29T17:44:29.024245+00:00,Land to Market Verified,https://www.landtomarket.com/,True,c126129f-6920-41c8-878f-ecd437e47bf4
a55f3efa-8f72-4efc-958f-9d07f6c578e0,2024-08-29T17:44:29.024245+00:00,California Certified Organic Farmers,https://www.ccof.org/,False,a1fd7f33-d1ce-471e-b858-998a00f72da7
e1e07318-50f9-4afa-ac49-024f0c6182b2,2024-08-29T17:44:29.024245+00:00,Real Organic Project,https://realorganicproject.org/,False,6b43278f-05f5-45b0-9ca1-2efef105627b
3c5466d5-cb7c-42f2-a05f-cc8b4f097b08,2024-08-29T17:44:29.024245+00:00,Soil & Climate Initiative,https://www.soilclimateinitiative.org/,True,d2857bdf-ab85-4d02-9aed-32215ef23227
